X,Y,Z,Rx,Ry,Rz
957.216,-27.445,-165.163,175.9831,17.9037,58.685
957.217,-27.509,-165.163,175.9831,17.9037,58.685
957.217,-27.573,-165.164,175.9831,17.9037,58.685
957.217,-27.637,-165.164,175.9831,17.9037,58.685
957.218,-27.7,-165.164,175.9831,17.9037,58.685
957.218,-27.764,-165.164,175.9831,17.9037,58.685
957.219,-27.828,-165.165,175.9831,17.9037,58.685
957.219,-27.892,-165.165,175.9831,17.9037,58.685
957.219,-27.956,-165.165,175.9831,17.9037,58.685
957.22,-28.02,-165.165,175.9831,17.9037,58.685
957.22,-28.084,-165.166,175.9831,17.9037,58.685
957.22,-28.148,-165.166,175.9831,17.9037,58.685
957.221,-28.211,-165.166,175.9831,17.9037,58.685
957.221,-28.275,-165.166,175.9831,17.9037,58.685
957.222,-28.339,-165.166,175.9831,17.9037,58.685
957.222,-28.403,-165.167,175.9831,17.9037,58.685
957.222,-28.467,-165.167,175.9831,17.9037,58.685
957.223,-28.531,-165.167,175.9831,17.9037,58.685
957.223,-28.595,-165.167,175.9831,17.9037,58.685
957.223,-28.659,-165.168,175.9831,17.9037,58.685
957.224,-28.722,-165.168,175.9831,17.9037,58.685
957.224,-28.786,-165.168,175.9831,17.9037,58.685
957.225,-28.85,-165.168,175.9831,17.9037,58.685
957.225,-28.914,-165.169,175.9831,17.9037,58.685
957.225,-28.978,-165.169,175.9831,17.9037,58.685
957.226,-29.042,-165.169,175.9831,17.9037,58.685
957.226,-29.106,-165.169,175.9831,17.9037,58.685
957.226,-29.17,-165.17,175.9831,17.9037,58.685
957.227,-29.234,-165.17,175.9831,17.9037,58.685
957.227,-29.297,-165.17,175.9831,17.9037,58.685
957.228,-29.361,-165.17,175.9831,17.9037,58.685
957.228,-29.425,-165.17,175.9831,17.9037,58.685
957.228,-29.489,-165.171,175.9831,17.9037,58.685
957.229,-29.553,-165.171,175.9831,17.9037,58.685
957.229,-29.617,-165.171,175.9831,17.9037,58.685
957.229,-29.681,-165.171,175.9831,17.9037,58.685
957.23,-29.745,-165.172,175.9831,17.9037,58.685
957.23,-29.808,-165.172,175.9831,17.9037,58.685
957.231,-29.872,-165.172,175.9831,17.9037,58.685
957.231,-29.936,-165.172,175.9831,17.9037,58.685
957.231,-30.0,-165.173,175.9831,17.9037,58.685
957.232,-30.064,-165.173,175.9831,17.9037,58.685
957.232,-30.128,-165.173,175.9831,17.9037,58.685
957.232,-30.192,-165.173,175.9831,17.9037,58.685
957.233,-30.256,-165.173,175.9831,17.9037,58.685
957.233,-30.319,-165.174,175.9831,17.9037,58.685
957.234,-30.383,-165.174,175.9831,17.9037,58.685
957.234,-30.447,-165.174,175.9831,17.9037,58.685
957.234,-30.511,-165.174,175.9831,17.9037,58.685
957.235,-30.575,-165.175,175.9831,17.9037,58.685
957.235,-30.639,-165.175,175.9831,17.9037,58.685
957.235,-30.703,-165.175,175.9831,17.9037,58.685
957.236,-30.767,-165.175,175.9831,17.9037,58.685
957.236,-30.831,-165.176,175.9831,17.9037,58.685
957.237,-30.894,-165.176,175.9831,17.9037,58.685
957.237,-30.958,-165.176,175.9831,17.9037,58.685
957.237,-31.022,-165.176,175.9831,17.9037,58.685
957.238,-31.086,-165.176,175.9831,17.9037,58.685
957.238,-31.15,-165.177,175.9831,17.9037,58.685
